"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/07/30 10:23:35 AM CDT","2020-07-20","Bethania","Juvenil","No","","","Sí","12","3","Sí","1","4","2",""
"2020/07/30 10:27:22 AM CDT","2020-07-21","Bethania","Intermedia","No","","","Sí","10","4","Sí","1","5","2",""
"2020/07/30 10:29:25 AM CDT","2020-07-21","Bethania","Juvenil","No","","","Sí","12","3","Sí","1","5","2",""
"2020/07/30 10:31:02 AM CDT","2020-07-22","Bethania","Intermedia","No","","","Sí","10","3","Sí","1","5","2",""
"2020/07/30 10:33:22 AM CDT","2020-07-22","Bethania","Juvenil","No","","","Sí","12","4","Sí","1","5","2",""
"2020/07/30 10:36:33 AM CDT","2020-07-23","Bethania","Intermedia","No","","","Sí","10","4","Sí","1","5","2",""
"2020/07/30 10:38:08 AM CDT","2020-07-23","Bethania","Juvenil","No","","","Sí","12","4","Sí","1","5","2",""
"2020/07/30 10:42:02 AM CDT","2020-07-24","Bethania","Intermedia","No","","","Sí","10","3","Sí","1","5","2",""
"2020/07/30 10:46:32 AM CDT","2020-07-24","Bethania","Juvenil","No","","","Sí","10","3","Sí","1","5","2",""
"2020/07/30 10:47:58 AM CDT","2020-07-24","Bethania","Juvenil","No","","","Sí","12","3","Sí","1","5","3",""
