"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/04/21 6:27:06 PM CDT","2020-04-20","Florida","Infantil","No","","","Sí","15","7","Sí","5","4","3","Los trabajos deben ser variados no los mismos y la explicación y ejecución bien realizados"
"2020/04/21 6:29:50 PM CDT","2020-04-21","Florida","Infantil","No","","","Sí","5","11","Sí","5","4","3","La creatividad del profesor debe verse reflejada en las unidades de entrenamiento"
"2020/04/21 6:43:11 PM CDT","2020-04-20","Proyecto 4-10","Juvenil","Sí","5","2","Sí","4","4","Sí","4","5","3",""
"2020/04/21 6:48:38 PM CDT","2020-04-21","Proyecto 4-10","Juvenil","Sí","1","1","Sí","2","2","Sí","4","5","3",""
"2020/04/21 6:49:15 PM CDT","2020-04-14","Lourdes","Juvenil","Sí","40","15","Sí","10","10","Sí","12","4","2","ninguno"
"2020/04/21 7:03:25 PM CDT","2020-04-21","Bethania","Infantil","Sí","10","6","Sí","5","3","Sí","3","5","1",""
"2020/04/21 7:16:49 PM CDT","2020-04-21","Bethania","Moscos","Sí","10","8","No","","","Sí","3","5","5",""
"2020/04/21 7:19:02 PM CDT","2020-04-20","Florida","Sub-15","Sí","5","5","Sí","3","5","Sí","4","5","5",""
"2020/04/21 7:26:40 PM CDT","2020-04-21","Lourdes","Infantil","Sí","3","3","Sí","3","3","Sí","3","5","2",""
"2020/04/21 7:28:01 PM CDT","2020-04-27","Castillo Lara","Intermedia","Sí","12","8","No","","","Sí","5","5","4","Pues no todos se conectan o tienen datos "
"2020/04/21 7:28:09 PM CDT","2020-04-27","Castillo Lara","Intermedia","Sí","12","8","No","","","Sí","5","5","4","Pues no todos se conectan o tienen datos "
"2020/04/21 7:30:05 PM CDT","2020-04-21","Gerona","Infantil","Sí","7","4","Sí","7","4","Sí","7","4","4","gracias"
"2020/04/21 7:30:18 PM CDT","2020-04-21","Proyecto 4-10","Sub-15","Sí","5","3","Sí","3","2","Sí","4","5","5",""
"2020/04/21 7:30:40 PM CDT","2020-04-20","Castillo Lara","Intermedia","Sí","7","4","No","","","Sí","","4","3","No todos tienen datos ni redes sociales "
"2020/04/21 7:32:03 PM CDT","2020-04-21","Gerona","Intermedia","Sí","9","5","Sí","9","5","Sí","10","5","5","gracias
"
"2020/04/21 7:32:32 PM CDT","2020-04-21","Castillo Lara","Intermedia","No","","","No","","","Sí","3","5","2","Cuesta que respondan "
"2020/04/21 7:33:42 PM CDT","2020-04-21","Gerona","Juvenil","Sí","11","7","Sí","11","7","Sí","10","5","5","gracias"
"2020/04/21 7:37:24 PM CDT","2020-04-21","Proyecto 4-10","Moscos","No","","","Sí","5","2","Sí","4","3","1",""
"2020/04/21 7:40:23 PM CDT","2020-04-20","Castillo Lara","Juvenil","No","","","No","","","Sí","3","4","3","El problema es que la mayoría no tiene redes sociales por falta de dinero "
"2020/04/21 7:41:16 PM CDT","2020-04-21","Chácara","Infantil","Sí","6","6","Sí","6","6","Sí","5","5","5","Todo bien"
"2020/04/21 7:42:37 PM CDT","2020-04-21","Castillo Lara","Juvenil","No","","","No","","","Sí","2","3","2","Es complicado para todos por el tema económico y no tener redes sociales activas "
"2020/04/21 7:44:28 PM CDT","2020-03-22","Castillo Lara","Infantil","Sí","12","8","No","","","Sí","3","2","2","Lamentablemente no todos cuentan con redes es muy difícil para ellos"
"2020/04/21 7:47:11 PM CDT","2020-04-20","Castillo Lara","Infantil","No","","","Sí","8","4","Sí","33","3","3","Hay escaces de redes"
"2020/04/21 7:49:25 PM CDT","2020-04-21","Castillo Lara","Infantil","No","","","No","","","Sí","5","3","3","Es un poco dificultoso este programa para nuestros nos por falta de redes"
"2020/04/21 7:51:23 PM CDT","2020-04-20","Milles Rock","Moscos","Sí","4","2","Sí","2","2","Sí","3","3","3","No todos los padres cuentan con telefono inteligente y tienen dificultades con la tecnologia"
"2020/04/21 7:58:42 PM CDT","2020-04-21","Milles Rock","Infantil","Sí","5","3","Sí","11","6","Sí","2","5","5",""
"2020/04/21 8:04:49 PM CDT","2020-04-21","Gerona","Moscos","Sí","8","5","Sí","8","5","Sí","3","5","5","Quédate en casa"
"2020/04/21 8:07:58 PM CDT","2020-04-21","Chácara","Moscos","Sí","20","13","Sí","20","9","Sí","8","5","3",""
"2020/04/21 8:10:53 PM CDT","2020-04-20","Roosevelt","Moscos","Sí","10","10","Sí","7","7","Sí","4","5","5","En una llamada pueden activar 1 o más alumnos o aspirantes que se encuentran en el mismo domicilio los alumnos la mayoría manifiestan que deben tener internet para estarse comunicando  informo Jorge Velasquez"
"2020/04/21 8:11:42 PM CDT","2020-04-20","Roosevelt","Moscos","Sí","10","10","Sí","7","7","Sí","4","5","5","En una llamada pueden activar 1 o más alumnos o aspirantes que se encuentran en el mismo domicilio los alumnos la mayoría manifiestan que deben tener internet para estarse comunicando  informo Jorge Velasquez"
"2020/04/21 8:15:43 PM CDT","2020-04-21","Roosevelt","Moscos","Sí","10","10","Sí","5","5","Sí","4","5","4","Se envió un vídeo trabajo para moscos y uno para la infantil, al momento de contactar se realizaron varios intentos hasta alcanzar el objetivo informo Jorge Velasquez"
"2020/04/21 8:32:49 PM CDT","2020-03-10","Florida","Intermedia","Sí","24 ","12","No","","","Sí","4","5","3",""
"2020/04/21 9:21:00 PM CDT","2020-04-21","San Francisco de Asís","Moscos","Sí","8","2","Sí","8","2","Sí","3","3","1",""
"2020/04/21 9:33:18 PM CDT","2020-04-21","Castillo Lara","Moscos","Sí","12","08","Sí","05","05","Sí","01","5","5","No todos los padres de los alumnos tienen internet"
"2020/04/21 9:41:44 PM CDT","2020-04-20","San Francisco de Asís","Infantil","Sí","2","2","Sí","2","2","Sí","2","5","3",""
"2020/04/21 9:45:25 PM CDT","2020-04-21","San Francisco de Asís","Infantil","Sí","4","4","Sí","4","4","Sí","2","3","3",""
"2020/04/21 9:49:27 PM CDT","2020-04-20","San Francisco de Asís","Juvenil","Sí","3","3","Sí","2","2","Sí","1","3","3",""
"2020/04/21 9:52:34 PM CDT","2020-04-21","San Francisco de Asís","Juvenil","Sí","1","1","Sí","4","4","Sí","1","2","2",""
"2020/04/21 10:01:38 PM CDT","2020-04-21","Florida","Moscos","Sí","2","2","Sí","2","3","Sí","4","5","4",""
"2020/04/21 10:07:35 PM CDT","2020-04-01","Nimajuyú","Infantil","No","","","Sí","26","25","Sí","1","5","5","Solamente uno no x que cambio su número de teléfono "
"2020/04/21 10:10:27 PM CDT","2020-04-01","Nimajuyú","Moscos","No","","","Sí","20","16","Sí","1","5","3",""
"2020/04/21 10:12:32 PM CDT","2020-04-02","Nimajuyú","Infantil","No","","","Sí","23","23","Sí","2","5","4",""
"2020/04/21 10:13:46 PM CDT","2020-04-02","Nimajuyú","Moscos","No","","","Sí","17","17","Sí","2","5","4",""
"2020/04/21 10:16:14 PM CDT","2020-04-03","Nimajuyú","Infantil","No","","","Sí","23","21","Sí","2","5","4",""
"2020/04/21 10:17:37 PM CDT","2020-04-03","Nimajuyú","Moscos","No","","","Sí","17","15","Sí","2","5","4",""
"2020/04/21 10:19:16 PM CDT","2020-04-14","Nimajuyú","Infantil","No","","","Sí","23","22","Sí","1","5","4",""
"2020/04/21 10:19:38 PM CDT","2020-04-20","Florida","Juvenil","Sí","0","0","Sí"," 16","1","Sí","9","5","2",""
"2020/04/21 10:21:07 PM CDT","2020-04-14","Nimajuyú","Moscos","No","","","Sí","17","15","Sí","1","5","3",""
"2020/04/21 10:22:34 PM CDT","2020-04-15","Nimajuyú","Moscos","No","","","Sí","17","15","Sí","1","5","4",""
"2020/04/21 10:23:59 PM CDT","2020-04-15","Nimajuyú","Infantil","No","","","Sí","23","23","Sí","1","5","5",""
"2020/04/21 10:25:06 PM CDT","2020-04-16","Nimajuyú","Moscos","No","","","Sí","17","17","Sí","1","5","4",""
"2020/04/21 10:26:13 PM CDT","2020-04-16","Nimajuyú","Infantil","No","","","Sí","23","23","Sí","1","5","5","Todos están motivados a trabajar tanto papás como alumnos"
"2020/04/21 10:27:42 PM CDT","2020-04-21","Nimajuyú","Moscos","No","","","Sí","17","17","Sí","1","5","5","Se envia trabajo adaptado a la categoría"
"2020/04/21 10:28:23 PM CDT","2020-04-21","Nimajuyú","Infantil","No","","","Sí","23","23","Sí","1","5","5",""
"2020/04/21 11:21:03 PM CDT","2020-04-21","Paraiso 2","Juvenil","Sí","21","11","No","","","Sí","3","4","1",""
"2020/04/21 11:26:26 PM CDT","2020-04-21","Bethania","Juvenil","Sí","10","7","Sí","11","7","No","","","","si que siempre hay que hacer llamadas directas, porque algunos no cuenta con medios electrónicos , para comunicarse por la misma situación económica."
"2020/04/22 10:23:17 AM CDT","2020-04-21","Alameda","Intermedia","Sí","14","14","Sí","14","14","Sí","3","5","4","Se están mandando ejercicios según el espacio que tienen en sus casaa"
"2020/04/22 11:07:51 AM CDT","2020-04-21","Alameda","Moscos","Sí","17","12","Sí","9","9","Sí","5","5","5",""
"2020/04/22 11:09:56 AM CDT","2020-04-21","Alameda","Moscos","Sí","17","12","Sí","13","11","Sí","5","5","5","Muy buen trabajo realizado"
"2020/04/22 11:11:43 AM CDT","2020-04-22","Capitalinos B-EMEFUT","Sub-18","Sí","5","5","Sí","5","5","Sí","20","5","5","Se está enviando planificaciones de entrenamiento por medio de microciclos  para trabajar en casa, información en grupos de WathApps, Videoterapia, Videoconferencia en grupo y también de forma individual, Diapositivas. Y llamadas realizadas a los alumnos. "
"2020/04/22 11:22:42 AM CDT","2020-04-20","Maestro","Juvenil","Sí","5","3","Sí","10","5","Sí","3","5","2","No"
"2020/04/22 11:23:07 AM CDT","2020-04-21","Capitalinos B-EMEFUT","Equipo Mayor","Sí","5","5","No","","","Sí","10","5","5",""
"2020/04/22 11:24:38 AM CDT","2020-04-21","Maestro","Juvenil","Sí","6","1","Sí","10","2","Sí","2","5","1",""
"2020/04/22 12:01:36 PM CDT","2020-04-22","Castillo Lara","Moscos","Sí","08","06","Sí","05","05","Sí","01","4","5","Por el momento ninguno"
"2020/04/22 12:31:34 PM CDT","2020-04-07","Lourdes","Moscos","Sí","19","19","Sí","10","10","Sí","5","5","5","Ninguno"
"2020/04/22 12:33:17 PM CDT","2020-04-14","Lourdes","Moscos","Sí","15","15","Sí","10","10","Sí","4","5","5","Los niños están efectúando bien sus ejercicios diarios"
"2020/04/22 12:49:39 PM CDT","2020-04-21","Lourdes","Moscos","Sí","7","7","Sí","10","7","Sí","4","5","5","Todo marcha bien con los videos y clases virtuales"
"2020/04/22 1:22:12 PM CDT","2020-04-22","Castillo Lara","Infantil","No","","","Sí","6","2","Sí","2","3","2","muy difícil tener un numero grande de respuestas no todos cuentan con redes."
"2020/04/22 1:32:21 PM CDT","2020-04-22","Maestro","Juvenil","Sí","9","4","Sí","11","3","Sí","2","5","2",""
"2020/04/22 1:40:04 PM CDT","2020-04-21","Alameda","Juvenil","Sí","11","10","Sí","11","10","Sí","11","5","4",""
"2020/04/22 1:47:33 PM CDT","2020-04-20","Maestro","Infantil","No","","","Sí","30","24","No","","","","LUNES, SE ENVIO UN MENSAJE ESPECIAL DE MOTIVACION POR ALUMNO"
"2020/04/22 1:53:43 PM CDT","2020-04-21","Maestro","Infantil","No","","","Sí","5","10","Sí","8","5","3","SE ENVIO VIDEO: EJERCICIOS FISICOS Y TECNICOS, CIRCUITOS, VARIANTES, USANDO ESCOBA, GUACAL, TABLA, SILLA, MASQUEN, "
"2020/04/22 1:57:00 PM CDT","2020-04-22","Maestro","Infantil","No","","","Sí","1","5","No","","","","SE ENVIO MENSAJE RECORDATORIO DEL TRABAJO AGREGANDO LAS VARIANTES, Y MODIFICACIONES SEGUN CREATIVIDAD, EXPERIENCIA!!"
"2020/04/22 2:52:11 PM CDT","2020-04-22","Muniguate","Equipo Mayor","Sí","5","","Sí","5","5","Sí","6","5","5","Estamos trabajando con videos de cada jugadora,cuando realizan sus ejercicios,yo les envío uno de demostración como son"
"2020/04/22 3:37:47 PM CDT","2020-04-22","Proyecto 4-10","Moscos","Sí","5","5","Sí","4","6","Sí","4","3","1",""
"2020/04/22 3:38:41 PM CDT","2020-04-22","Alameda","Intermedia","Sí","12","10","Sí","12","10","Sí","3","3","3","Los alumnos están entusiasmados por mandarles los vídeos de ejercicios"
"2020/04/22 3:39:21 PM CDT","2020-04-22","Proyecto 4-10","Sub-15","No","","","Sí","3","10","Sí","7","5","3",""
"2020/04/22 3:48:00 PM CDT","2020-04-22","Chácara","Intermedia","Sí","5","5","Sí","2","5","Sí","4","3","3",""
"2020/04/22 3:48:26 PM CDT","2020-04-22","Justo Rufino Barrios","Juvenil","No","","","Sí","6","6","Sí","1","5","0",""
"2020/04/22 3:53:24 PM CDT","2020-04-21","Maestro","Moscos","Sí","7","7","Sí","7","7","Sí","3","","5","El ejercicio lo realizaron muy bien"
"2020/04/22 3:54:20 PM CDT","2020-04-22","Lourdes","Infantil","Sí","12","7","No","","","Sí","3","5","5",""
"2020/04/22 3:58:17 PM CDT","2020-04-22","Maestro","Moscos","Sí","6","6","Sí","25","16","Sí","3","","","Se están recibiendo varios videos de los ejercicios."
"2020/04/22 4:01:13 PM CDT","2020-04-22","Milles Rock","Juvenil","Sí","9","6","No","","","No","","","","ninguna"
"2020/04/22 4:04:14 PM CDT","2020-04-20","Maestro","Intermedia","Sí","16","12","Sí","20","20","Sí","3","","5","El ejercicio lo hicieron 12 por respuestas a los trabajos asignados, se están recibiendo algunos videos."
"2020/04/22 4:05:12 PM CDT","2020-04-21","Limón","Moscos","Sí","5","4","Sí","6","2","Sí","3","0","0","Los niños tienen muchas tareas y trabajos. 

No todos los padres de familia tiene la capacidad económica para ingresar saldo a sus celulares.

"
"2020/04/22 4:09:13 PM CDT","2020-04-22","Limón","Moscos","Sí","4","4","Sí","10","1","Sí","3","2","2","La mayoría de padres de familia, destinan el tiempo de la tarde para realizar los ejercicios de entrenamiento."
"2020/04/22 4:16:45 PM CDT","2020-04-21","Muniguate","Sub-15","No","","","Sí","3","3","Sí","5","4","4",""
"2020/04/22 4:18:46 PM CDT","2020-04-21","Muniguate","Sub-15","No","","","Sí","4","4","Sí","6","4","4",""
"2020/04/22 4:20:32 PM CDT","2020-04-21","Muniguate","Sub-15","No","","","Sí","3","3","Sí","6","4","4",""
"2020/04/22 4:22:02 PM CDT","2020-04-21","Muniguate","Sub-15","No","","","Sí","5","4","Sí","8","4","4",""
"2020/04/22 4:23:12 PM CDT","2020-04-22","Muniguate","Sub-15","No","","","Sí","5","5","Sí","8","4","4",""
"2020/04/22 4:24:34 PM CDT","2020-04-22","Muniguate","Sub-15","No","","","Sí","4","4","Sí","8","4","4",""
"2020/04/22 4:25:36 PM CDT","2020-04-22","Muniguate","Sub-15","No","","","Sí","6","6","Sí","8","4","4",""
"2020/04/22 4:28:22 PM CDT","2020-04-20","Proyecto 4-10","Infantil","Sí","7","7","Sí","5","9","Sí","4","5","3",""
"2020/04/22 4:29:11 PM CDT","2020-04-21","Proyecto 4-10","Infantil","Sí","5","5","Sí","5","3","Sí","4","5","2",""
"2020/04/22 4:30:00 PM CDT","2020-04-20","Proyecto 4-10","Intermedia","Sí","7","5","Sí","3","5","Sí","5","5","1",""
"2020/04/22 4:39:45 PM CDT","2020-04-22","Capitalinos B-EMEFUT","Equipo Mayor","Sí","5","5","No","","","Sí","3","5","5",""
"2020/04/22 4:48:09 PM CDT","2020-04-22","Proyecto 4-10","Infantil","Sí","8","8","No","","","Sí","3","5","1",""
"2020/04/22 4:49:01 PM CDT","2020-04-22","Proyecto 4-10","Intermedia","No","","","Sí","3","1","Sí","4","2","0",""
"2020/04/22 4:58:15 PM CDT","2020-04-22","Castillo Lara","Intermedia","Sí","7","5","No","","","Sí","3","5","4","Se hizo por medio de llamadas y allí se les explicó la dinámica del dia"
"2020/04/22 4:59:45 PM CDT","2020-04-22","Castillo Lara","Intermedia","No","","","Sí","8","5","Sí","3","5","3","Solo el tema de las redes sociales que no todos tienen todos los días acceso a ellas"
"2020/04/22 5:01:02 PM CDT","2020-04-22","Paraiso 2","Juvenil","Sí","5","4","No","","","Sí","3","4","3",""
"2020/04/22 5:04:02 PM CDT","2020-04-22","Cantón 21","Moscos","Sí","10","9","Sí","15","15","Sí","5","4","4",""
"2020/04/22 5:04:56 PM CDT","2020-04-22","San Francisco de Asís","Infantil","Sí","4","4","Sí","10","5","Sí","1","4","3",""
"2020/04/22 5:05:43 PM CDT","2020-04-22","Cantón 21","Infantil","Sí","6","6","Sí","12","12","Sí","4","4","4",""
"2020/04/22 5:06:19 PM CDT","2020-04-22","San Francisco de Asís","Moscos","Sí","3","3","Sí","19","7","Sí","3","5","4",""
"2020/04/22 5:07:04 PM CDT","2020-04-22","Cantón 21","Intermedia","Sí","5","4","Sí","10","8","Sí","4","3","3",""
"2020/04/22 5:08:47 PM CDT","2020-04-20","Florida","Juvenil","Sí","8","8","Sí","6","6","Sí","4","4","3",""
"2020/04/22 5:08:52 PM CDT","2020-04-22","Cantón 21","Juvenil","Sí","8","6","Sí","2","8","Sí","4","4","3",""
"2020/04/22 5:09:50 PM CDT","2020-04-22","San Francisco de Asís","Juvenil","Sí","3","3","Sí","10","5","Sí","1","3","3",""
"2020/04/22 5:19:43 PM CDT","2020-04-22","Milles Rock","Infantil","Sí","","2","Sí","7","7","Sí","","5","5",""
"2020/04/22 5:26:02 PM CDT","2020-04-22","Milles Rock","Intermedia","Sí","10","5","Sí","10","8","Sí","3","5","5",""
"2020/04/22 5:29:10 PM CDT","2020-04-21","Santa Fe","Juvenil","Sí","16","10","Sí","16","10","Sí","3","5","5",""
"2020/04/22 5:34:11 PM CDT","2020-04-22","Santa Fe","Infantil","Sí","13","8","Sí","6","5","Sí","6","5","5","Es muy interesante estar al pendiente de los niños "
"2020/04/22 5:47:45 PM CDT","2020-04-22","Florida","Infantil","No","","","Sí","15","9","Sí","4","3","3",""
"2020/04/22 5:47:55 PM CDT","2020-04-21","Santa Fe","Intermedia","No","","","Sí","15","10","Sí","3","5","1",""
"2020/04/22 5:53:34 PM CDT","2020-04-22","Florida","Intermedia","Sí","11","5","No","","","Sí","3","5","2",""
"2020/04/22 5:55:15 PM CDT","2020-04-21","Alameda","Infantil","Sí","14","14","Sí","14","14","Sí","10","5","5",""
"2020/04/22 5:56:25 PM CDT","2020-04-22","Alameda","Infantil","Sí","14","14","Sí","14","14","Sí","10","5","5",""
"2020/04/22 6:00:01 PM CDT","2020-04-22","Santa Fe","Intermedia","Sí","2","2","Sí","13","13","Sí","3","5","3",""
"2020/04/22 6:02:03 PM CDT","2020-04-21","Santa Fe","Infantil","Sí","6","3","Sí","10","5","Sí","6","5","4",""
"2020/04/22 6:03:24 PM CDT","2020-04-22","Alameda","Juvenil","Sí","12","10","Sí","10","10","Sí","12","5","4",""
"2020/04/22 6:35:07 PM CDT","2020-04-22","Florida","Moscos","No","","","Sí","1","5","Sí","4","5","5","Se están monitoriando a los chicos"
"2020/04/22 6:38:22 PM CDT","2020-04-22","Milles Rock","Moscos","Sí","2","2","Sí","3","2","Sí","4","4","4","No respondio una mama"
"2020/04/22 6:39:23 PM CDT","2020-04-22","Bethania","Juvenil","Sí","10","8","Sí","11","5","Sí","1","5","4",""
"2020/04/22 6:56:01 PM CDT","2020-04-21","Santa Fe","Moscos","No","","","Sí","9","6","Sí","3","5","3",""
"2020/04/22 6:57:45 PM CDT","2020-04-22","Santa Fe","Moscos","No","","","Sí","9","9","Sí","3","5","3",""
"2020/04/22 7:01:40 PM CDT","2020-04-22","Castillo Lara","Intermedia","No","","","Sí","15","5","Sí","3","5","3","No todos cuentan con acceso a internet"
"2020/04/22 7:03:28 PM CDT","2020-04-22","Castillo Lara","Juvenil","No","","","Sí","10 ","5","Sí","3","4","4",""
"2020/04/22 7:07:39 PM CDT","2020-04-22","Santa Fe","Juvenil","No","","","Sí","16","16","Sí","","5","5",""
"2020/04/22 7:13:46 PM CDT","2020-04-22","Gerona","Moscos","Sí","8","4","Sí","8","5","Sí","2","5","5","Que está bien el programa"
"2020/04/22 7:23:22 PM CDT","2020-04-22","Gerona","Infantil","Sí","7","6","Sí","7","6","Sí","5","5","5","Gracias"
"2020/04/22 7:24:42 PM CDT","2020-04-22","Gerona","Intermedia","Sí","10","6","Sí","10","6","Sí","6","5","5",""
"2020/04/22 7:25:38 PM CDT","2020-04-22","Gerona","Juvenil","Sí","11","7","Sí","10","7","Sí","7","5","5","Gracias"
"2020/04/22 8:39:01 PM CDT","2020-04-23","Roosevelt","Infantil","Sí","10","10","Sí","10","","Sí","4","4","4","Los alumnos manifestaron agradecimiento y mucha alegría ⚽💯"
"2020/04/22 10:10:38 PM CDT","2020-04-23","Roosevelt","Moscos","Sí","10","8","Sí","10","10","Sí","4","4","4","Reporta, Jorge Velasquez ⚽"
"2020/04/22 10:26:51 PM CDT","2020-04-22","Bethania","Moscos","Sí","10","10","Sí","10","8","Sí","3","5","5",""
"2020/04/23 12:02:59 PM CDT","2020-04-21","Campo Marte","Moscos","Sí","12","9","Sí","12","9","Sí","3","3","2",""
"2020/04/23 12:56:49 PM CDT","2020-04-23","Castillo Lara","Moscos","Sí","13","10","Sí","13","08","Sí","02","5","5","Ninguno"
"2020/04/23 1:29:23 PM CDT","2020-04-23","Maestro","Juvenil","Sí","4","1","Sí","10","3","Sí","2","5","2",""
"2020/04/23 1:30:26 PM CDT","2020-04-23","Justo Rufino Barrios","Moscos","Sí","12","12","Sí","","12","Sí","3","5","5","Nosotros trabajamos en casa no tenos muchos espacio para ser ejerciocio lo esimos unos trabajos cortitos  "
"2020/04/23 1:31:31 PM CDT","2020-04-23","Justo Rufino Barrios","Infantil","Sí","20","20","No","","","Sí","3","5","3",""
"2020/04/23 1:40:19 PM CDT","2020-04-23","Justo Rufino Barrios","Juvenil","No","","","Sí","15","15","Sí","3","5","5",""
"2020/04/23 1:48:01 PM CDT","2020-04-23","Castillo Lara","Infantil","No","","","Sí","12","6","Sí","","4","2","muchos no cuentan con redes"
"2020/04/23 1:53:50 PM CDT","2020-04-23","Maestro","Infantil","No","","","Sí","1","6","No","","","","SE ENVIO MENSAJE, AGRADECIENDO LOS VIDEOS DE LOS CHICOS ENTRENANDO Y SE ENVIO ALGUNAS VARIANTES."
"2020/04/23 2:13:34 PM CDT","2020-04-23","Capitalinos B-EMEFUT","Sub-18","Sí","8","8","Sí","20","8","Sí","15 ","5","5","Se envió planificación en base al Microciclo de entreno para que los alumnos lo realicen de una mejor forma y evitar lesiones futuras. Se enviaron vídeos de muestras de los ejercicios y sus respectivas variantes, se interactuo en base a la sesión de entreno diario para aclarar dudas y sus objetivos. Se realizaron llamadas a los alumnos verificando el estado de salud del alumno y sus familiares. "
"2020/04/23 2:25:26 PM CDT","2020-04-23","Paraiso 2","Intermedia","Sí","10","4","Sí","0","0","Sí","4","5","5","Los padres casi nunca están con sus hijos cuando se les llama"
"2020/04/23 2:25:27 PM CDT","2020-04-23","Muniguate","Equipo Mayor","No","","","Sí","5","5","Sí","4","5","5","Continuamos con los ejercicios en casa,con videos de las jugadoras,enviando yo el video Cómo ejemplo,y les decimos de la importancia de quedarse en casa y la higiene recomendada"
"2020/04/23 2:32:17 PM CDT","2020-04-23","Roosevelt","Infantil","Sí","7","2","Sí","5","2","Sí","2","3","1","Si algunos alumno cuesta que envien sus videos casi ninguno envía y no emvian todos los dias tenemos que ver la fotma de como llamsr mas su atención "
"2020/04/23 3:02:40 PM CDT","2020-04-23","Castillo Lara","Sub-15","No","","","Sí","4","7","Sí","5","5","2",""
"2020/04/23 3:03:04 PM CDT","2020-04-23","Gerona","Moscos","No","","","Sí","9","3","Sí","3","5","5","Esta bien el método que estamos utilizando"
"2020/04/23 3:03:47 PM CDT","2020-04-23","Proyecto 4-10","Moscos","No","","","Sí","3","5","Sí","3","2","0",""
"2020/04/23 3:10:31 PM CDT","2020-04-23","Roosevelt","Moscos","Sí","15","15","Sí","15","15","Sí","4","4","4","Tenemos grupo de WhatsApp donde se conectan 20 moscos o más y cuando no se reportan ,intentamos varias veces, algunos manifiestan que no tienen o no tenían señal de warsap, pero al final logramos  nuestro objetivo bendiciones 💯⚽"
"2020/04/23 3:17:39 PM CDT","2020-04-23","Justo Rufino Barrios","Intermedia","Sí","6","2","Sí","37","16","Sí","2 ","5","5","Me parece bien "
"2020/04/23 3:21:11 PM CDT","2020-04-23","Milles Rock","Juvenil","Sí","9","6","Sí","9","6","Sí","3","5","4","La comunicación es un poco difícil ya que no todas las personas tienen la disponibilidad para contestar las llamadas, y algunas personas contestan de mala gana por la insistencia de llamar"
"2020/04/23 3:32:44 PM CDT","2020-04-23","San Francisco de Asís","Infantil","Sí","2","2","Sí","17","8","Sí","3","5","4",""
"2020/04/23 3:36:50 PM CDT","2020-04-23","San Francisco de Asís","Juvenil","Sí","4","4","Sí","13","8","Sí","4","4","4",""
"2020/04/23 3:43:27 PM CDT","2020-04-23","Santa Fe","Infantil","No","","","Sí","10","5","Sí","6","3","2","Los entrenamiento en casa sirve para que los niños mantengan su condición física "
"2020/04/23 3:47:17 PM CDT","2020-04-23","Lourdes","Infantil","Sí","10","8","Sí","10","8","Sí","3","4","2",""
"2020/04/23 3:53:36 PM CDT","2020-04-23","Milles Rock","Moscos","Sí","1","1","Sí","3","11","Sí","3","4","4","1 mama no respondio"
"2020/04/23 3:53:54 PM CDT","2020-04-23","Paraiso 2","Moscos","No","","","Sí","32","11","Sí","3","5","3",""
"2020/04/23 3:58:56 PM CDT","2020-04-23","Lourdes","Juvenil","No","","","Sí","10","10","Sí","10","3","3","ninguna"
"2020/04/23 3:59:00 PM CDT","2020-04-23","Milles Rock","Intermedia","Sí","10","5","Sí","10","5","Sí","2","5","5",""
"2020/04/23 4:09:13 PM CDT","2020-04-23","Milles Rock","Infantil","Sí","2","2","Sí","7","7","Sí","","5","5",""
"2020/04/23 4:18:50 PM CDT","2020-04-23","Alameda","Juvenil","No","","","Sí","12","12","Sí","12","5","5",""
"2020/04/23 4:25:41 PM CDT","2020-04-23","Bethania","Moscos","Sí","10","10","Sí","9","7","Sí","3","5","5",""
"2020/04/23 4:34:22 PM CDT","2020-04-22","Limón","Moscos","Sí","4","4","Sí","10","1","Sí","3","2","2","La mayoría de padres de familia, destinan el tiempo de la tarde para realizar los ejercicios de entrenamiento."
"2020/04/23 4:35:36 PM CDT","2020-04-23","Chácara","Intermedia","Sí","12","10","Sí","12","10","Sí","5","5","4","todo bien"
"2020/04/23 4:40:14 PM CDT","2020-04-23","Proyecto 4-10","Moscos","No","","","Sí","3","5","Sí","4","3","2",""
"2020/04/23 4:41:01 PM CDT","2020-04-23","Proyecto 4-10","Moscos","No","","","Sí","4","7","Sí","3","5","2",""
"2020/04/23 4:41:39 PM CDT","2020-04-23","Proyecto 4-10","Intermedia","No","","","No","","","Sí","5","3","1",""
"2020/04/23 4:50:38 PM CDT","2020-04-23","Chácara","Moscos","Sí","12","9","Sí","12","3","Sí","8","3","3",""
